P( IN | <s> )  =  0.2
P( For | IN )  =  0.06666666666666667
P( DT | IN )  =  0.28888888888888886
P( a | DT )  =  0.15555555555555556
P( RB | DT )  =  0.023255813953488372
P( somewhat | RB )  =  0.023255813953488372
P( JJ | RB )  =  0.11764705882352941
P( ironic | JJ )  =  0.058823529411764705
P( NN | JJ )  =  0.23333333333333334
P( example | NN )  =  0.03333333333333333
P( IN | NN )  =  0.22448979591836735
P( of | IN )  =  0.2857142857142857
P( NNP | IN )  =  0.08888888888888889
P( ambiguity | NNP )  =  0.08888888888888889
P( , | NNP )  =  0.3333333333333333
P( , | , )  =  2.0
P( VB | , )  =  0.041666666666666664
P( consider | VB )  =  0.041666666666666664
P( DT | VB )  =  0.2608695652173913
P( the | DT )  =  1.0869565217391304
P( NN | DT )  =  0.5581395348837209
P( word | NN )  =  0.09302325581395349
P( `` | NN )  =  0.04081632653061224
P( `` | `` )  =  0.16326530612244897
P( VBP | `` )  =  0.2222222222222222
P( mean | VBP )  =  0.2222222222222222
P( . | VBP )  =  0.2857142857142857
P( . | . )  =  2.142857142857143
P( '' | . )  =  0.13333333333333333
P( '' | '' )  =  0.5333333333333333
P( PRP | <s> )  =  0.06666666666666667
P( It | PRP )  =  0.06666666666666667
P( MD | PRP )  =  0.3
P( can | MD )  =  0.3
P( VB | MD )  =  0.8333333333333334
P( mean | VB )  =  0.16666666666666666
P( , | VB )  =  0.08695652173913043
P( , | , )  =  1.0434782608695652
P( IN | , )  =  0.08333333333333333
P( of | IN )  =  0.5833333333333334
P( NN | IN )  =  0.15555555555555556
P( course | NN )  =  0.022222222222222223
P( , | NN )  =  0.08163265306122448
P( , | , )  =  0.4897959183673469
P( TO | , )  =  0.041666666666666664
P( to | TO )  =  0.7083333333333334
P( VB | TO )  =  0.6842105263157895
P( indicate | VB )  =  0.05263157894736842
P( CC | VB )  =  0.043478260869565216
P( or | CC )  =  0.34782608695652173
P( VB | CC )  =  0.05555555555555555
P( signify | VB )  =  0.05555555555555555
P( , | VB )  =  0.08695652173913043
P( , | , )  =  1.0434782608695652
P( CC | , )  =  0.08333333333333333
P( but | CC )  =  0.041666666666666664
P( PRP | CC )  =  0.1111111111111111
P( it | PRP )  =  0.2222222222222222
P( MD | PRP )  =  0.3
P( can | MD )  =  0.3
P( RB | MD )  =  0.16666666666666666
P( also | RB )  =  0.16666666666666666
P( VB | RB )  =  0.058823529411764705
P( refer | VB )  =  0.058823529411764705
P( TO | VB )  =  0.08695652173913043
P( to | TO )  =  0.7391304347826086
P( DT | TO )  =  0.21052631578947367
P( an | DT )  =  0.21052631578947367
P( NN | DT )  =  0.5581395348837209
P( intention | NN )  =  0.023255813953488372
P( CC | NN )  =  0.10204081632653061
